270.05,-49.678,-12.191
270.23,-49.684,
270.52,-49.559,
270.92,-49.51,
271.32,-50.108,
271.72,-51.186,
272.12,-52.16,
272.52,-53.387,
272.93,-53.963,
273.32,-53.908,
273.73,-53.755,
274.12,-53.354,
274.53,-53.155,
274.93,-52.728,
275.33,-52.56,
275.73,-52.592,
276.13,-52.785,
276.54,-53.197,
276.94,-52.889,
277.33,-52.535,
277.74,-51.84,
278.14,-51.895,
278.54,-52.15,
278.94,-52.604,
279.34,-53.056,
279.74,-53.994,
280.14,-55.849,
280.55,-57.422,
280.95,-58.557,
281.35,-58.066,
281.75,-56.796,
282.15,-55.852,
282.55,-54.731,
282.95,-53.913,
283.35,-52.931,
283.75,-51.894,
284.15,-51.319,
284.55,-50.883,
284.95,-50.66,
285.35,-50.364,
285.75,-49.991,
286.15,-49.58,
286.55,-48.926,
286.95,-47.817,
287.35,-47.135,
287.75,-46.411,
288.14,-45.742,
288.55,-45.156,
288.95,-44.68,
289.35,-44.143,
289.75,-43.702,
290.15,-43.372,
290.54,-42.916,
290.94,-42.445,
291.35,-41.897,
291.74,-41.431,
292.15,-41.042,
292.55,-40.711,
292.94,-40.497,
293.34,-40.345,
293.74,-40.208,
294.14,-39.888,
294.54,-39.582,
294.94,-39.377,
295.34,-39.272,
295.74,-39.025,
296.14,-38.783,
296.54,-38.43,
296.94,-38.225,
297.34,-38.018,
297.75,-37.834,
298.14,-37.637,
298.54,-37.358,
298.95,-37.083,
299.35,-36.777,
299.74,-36.644,
300.14,-36.425,
300.55,-36.281,
300.95,-36.059,
301.34,-35.863,
301.75,-35.719,
302.14,-35.608,
302.54,-35.579,
302.94,-35.551,
303.35,-35.542,
303.75,-35.596,
304.15,-35.63,
304.54,-35.812,
304.94,-36.139,
305.35,-36.463,
305.74,-36.793,
306.15,-37.011,
306.54,-37.18,
306.95,-37.39,
307.35,-37.668,
307.75,-37.939,
308.16,-38.161,
308.55,-38.476,
308.95,-38.827,
309.36,-39.299,
309.76,-39.934,
310.17,-40.785,
310.56,-41.539,
310.96,-42.174,
311.37,-42.716,
311.76,-43.144,
