270.050,-54.730
270.230,-55.805
270.520,-56.823
270.920,-56.386
271.320,-53.919
271.720,-52.686
272.120,-52.443
272.520,-52.806
272.930,-53.171
273.320,-53.224
273.730,-53.133
274.120,-53.635
274.530,-53.784
274.930,-54.084
275.330,-54.254
275.730,-55.032
276.130,-55.197
276.540,-54.708
276.940,-54.104
277.330,-53.937
277.740,-53.575
278.140,-52.259
278.540,-50.543
278.940,-49.333
279.340,-48.339
279.740,-47.972
280.140,-47.531
280.550,-47.316
280.950,-46.856
281.350,-46.537
281.750,-46.234
282.150,-46.071
282.550,-46.246
282.950,-46.354
283.350,-46.259
283.750,-46.286
284.150,-46.713
284.550,-46.936
284.950,-47.232
285.350,-47.481
285.750,-47.427
286.150,-47.244
286.550,-47.150
286.950,-47.215
287.350,-47.357
287.750,-47.691
288.140,-47.836
288.550,-47.849
288.950,-47.903
289.350,-47.917
289.750,-47.233
290.150,-46.375
290.540,-45.799
290.940,-45.530
291.350,-45.775
291.740,-46.145
292.150,-46.899
292.550,-47.596
292.940,-47.867
293.340,-47.748
293.740,-46.925
294.140,-45.768
294.540,-44.004
294.940,-42.793
295.340,-41.711
295.740,-40.856
296.140,-40.221
296.540,-39.495
296.940,-38.848
297.340,-38.199
297.750,-37.850
298.140,-37.511
298.540,-37.196
298.950,-36.902
299.350,-36.690
299.740,-36.579
300.140,-36.488
300.550,-36.445
300.950,-36.348
301.340,-36.178
301.750,-35.953
302.140,-35.703
302.540,-35.502
302.940,-35.350
303.350,-35.210
303.750,-35.055
304.150,-34.994
304.540,-35.022
304.940,-35.170
305.350,-35.277
305.740,-35.368
306.150,-35.367
306.540,-35.318
306.950,-35.326
307.350,-35.335
307.750,-35.312
308.160,-35.293
308.550,-35.295
308.950,-35.378
309.360,-35.622
309.760,-35.904
310.170,-36.216
310.560,-36.436
310.960,-36.684
311.370,-37.014
311.760,-37.336
312.160,-37.760
312.570,-38.049
312.960,-38.289
313.360,-38.555
313.760,-38.716
314.160,-38.843
314.560,-39.091
314.970,-39.312
315.370,-39.282
315.760,-39.334
316.160,-39.366
316.570,-39.337
316.970,-39.199
317.360,-39.123
317.760,-38.878
318.160,-38.508
318.560,-37.995
318.960,-37.763
319.370,-37.410
319.770,-37.169
320.160,-37.142
320.560,-37.136
320.970,-37.189
321.370,-37.366
321.770,-37.670
322.170,-37.959
322.560,-38.263
322.960,-38.619
323.360,-39.043
323.760,-39.546
324.170,-40.249
324.570,-41.311
324.970,-42.344
325.380,-43.786
325.780,-44.814
326.170,-45.570
326.570,-45.418
326.970,-44.500
327.370,-43.103
327.770,-41.864
328.170,-40.499
328.580,-39.349
328.980,-38.123
329.380,-37.157
329.780,-36.347
330.180,-35.665
330.580,-35.246
330.980,-34.793
331.390,-34.427
331.790,-34.088
332.190,-33.855
332.590,-33.718
332.990,-33.633
333.390,-33.632
333.790,-33.666
334.190,-33.769
334.590,-34.054
334.990,-34.467
335.390,-35.069
335.800,-35.831
336.200,-36.680
336.600,-37.863
336.990,-38.827
337.390,-39.787
337.800,-39.945
338.200,-39.263
338.600,-38.025
339.000,-36.674
339.400,-35.026
339.810,-33.739
340.210,-32.377
340.610,-31.370
341.010,-30.274
341.410,-29.428
341.810,-28.676
342.220,-27.925
342.610,-27.390
343.020,-26.824
343.420,-26.419
343.820,-26.015
344.210,-25.778
344.610,-25.615
345.020,-25.552
345.420,-25.596
345.820,-25.760
346.220,-26.011
346.620,-26.382
347.020,-26.740
347.420,-27.166
347.820,-27.591
348.220,-28.098
348.620,-28.791
349.020,-29.408
349.410,-29.937
349.810,-30.091
350.220,-29.872
350.620,-28.989
351.020,-28.015
351.420,-26.715
351.810,-25.556
352.220,-24.192
352.620,-23.063
353.010,-22.007
353.420,-20.906
353.820,-20.061
354.220,-19.169
354.630,-18.474
355.020,-17.756
355.430,-17.202
355.830,-16.694
356.230,-16.166
356.620,-15.746
357.020,-15.298
357.420,-14.983
357.820,-14.696
358.220,-14.449
358.620,-14.268
359.020,-14.102
359.420,-13.992
359.820,-13.903
0.220,-13.856
0.620,-13.849
1.020,-13.889
1.420,-13.968
1.820,-14.119
2.230,-14.291
2.630,-14.539
3.020,-14.775
3.420,-15.041
3.820,-15.401
4.220,-15.700
4.620,-16.201
5.020,-16.690
5.430,-17.341
5.820,-17.959
6.220,-18.650
6.630,-19.538
7.020,-20.372
7.420,-21.487
7.820,-22.532
8.220,-23.732
8.620,-25.272
9.020,-26.789
9.420,-28.763
9.830,-30.544
10.230,-32.456
10.620,-33.498
11.020,-33.556
11.420,-32.591
11.820,-31.400
12.230,-30.127
12.620,-29.192
13.020,-28.282
13.420,-27.662
13.830,-27.151
14.230,-26.723
14.620,-26.414
15.020,-26.275
15.420,-26.219
15.820,-26.265
16.220,-26.398
16.620,-26.623
17.030,-26.983
17.430,-27.379
17.830,-27.920
18.230,-28.477
18.620,-29.244
19.030,-29.959
19.430,-30.732
19.830,-31.703
20.230,-32.559
20.620,-33.652
21.020,-34.518
21.430,-35.296
21.830,-35.878
22.220,-36.038
22.610,-35.695
23.020,-35.131
23.430,-34.307
23.820,-33.564
24.230,-32.919
24.620,-32.238
25.020,-31.761
25.430,-31.312
25.820,-31.024
26.220,-30.831
26.630,-30.645
27.030,-30.623
27.430,-30.639
27.830,-30.721
28.230,-30.892
28.630,-31.073
29.030,-31.296
29.430,-31.553
29.830,-31.778
30.240,-32.085
30.640,-32.346
31.040,-32.695
31.440,-32.973
31.830,-33.258
32.230,-33.616
32.630,-33.912
33.030,-34.251
33.440,-34.512
33.830,-34.734
34.240,-34.918
34.630,-35.059
35.040,-35.109
35.440,-35.052
35.830,-34.957
36.240,-34.850
36.640,-34.698
37.040,-34.609
37.450,-34.557
37.840,-34.536
38.240,-34.621
38.640,-34.773
39.040,-34.943
39.450,-35.158
39.850,-35.393
40.240,-35.549
