condition,start_time_utc,end_time_utc,duration_seconds,energy_start_wh,energy_end_wh,voltage_start_v,raw_voltage_end_v,voltage_end_v,delta_wh,delta_v
DIRECTSUN,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,1300.899,304.91425000000004,295.8802291666667,29.064,29.159,29.159,-9.03402083333333,0.09499999999999886
UMBRA,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,2090.185,295.8802291666667,304.5893333333334,29.159,29.067980729415517,29.067980729415517,8.709104166666691,-0.09101927058448211
DIRECTSUN,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:37:01+00:00,2909.916,304.5893333333334,284.3815833333334,29.067980729415517,29.276776019854193,29.276776019854193,-20.207749999999976,0.20879529043867606
