Start Time (UTC),End Time (UTC),Condition,Asset,Duration (s)
2026-05-06T23:19:20.717Z,2026-05-06T23:26:47.803Z,COMMS,IS-01,447.086
2026-05-07T00:10:26.898Z,2026-05-07T00:19:47.285Z,COMMS,NZ-01,560.387
2026-05-07T00:50:17.473Z,2026-05-07T00:59:47.668Z,COMMS,Lulea,570.195
2026-05-07T00:52:56.744Z,2026-05-07T01:02:12.988Z,COMMS,IS-01,556.244
2026-05-07T01:26:29.824Z,2026-05-07T01:34:02.436Z,COMMS,CL-01,452.612
2026-05-07T01:46:40.232Z,2026-05-07T01:49:35.182Z,COMMS,NZ-01,174.95
2026-05-07T02:23:37.475Z,2026-05-07T02:31:20.322Z,COMMS,Lulea,462.847
2026-05-07T02:26:59.916Z,2026-05-07T02:35:24.543Z,COMMS,IS-01,504.627
2026-05-07T02:54:06.244Z,2026-05-07T03:03:21.590Z,COMMS,CL-02,555.346
2026-05-07T02:59:05.123Z,2026-05-07T03:08:26.076Z,COMMS,CL-01,560.953
2026-05-07T03:55:51.805Z,2026-05-07T04:03:31.455Z,COMMS,Lulea,459.65
2026-05-07T04:01:08.396Z,2026-05-07T04:07:01.373Z,COMMS,IS-01,352.977
2026-05-07T04:36:37.691Z,2026-05-07T04:40:13.537Z,COMMS,CL-01,215.846
2026-05-07T05:09:52.801Z,2026-05-07T05:21:23.080Z,COMMS,Chanakya,690.279
2026-05-07T05:10:57.109Z,2026-05-07T05:22:30.225Z,COMMS,Hyd,693.116
2026-05-07T05:11:01.834Z,2026-05-07T05:20:09.816Z,COMMS,Bangalore,547.982
2026-05-07T05:27:24.162Z,2026-05-07T05:36:49.117Z,COMMS,Lulea,564.955
2026-05-07T05:34:54.674Z,2026-05-07T05:37:59.777Z,COMMS,IS-01,185.103
2026-05-07T06:47:10.969Z,2026-05-07T06:51:41.055Z,COMMS,Chanakya,270.086
2026-05-07T06:49:00.693Z,2026-05-07T06:52:16.736Z,COMMS,Hyd,196.043
2026-05-07T06:59:30.711Z,2026-05-07T07:10:40.195Z,COMMS,Lulea,669.484
2026-05-07T07:06:39.232Z,2026-05-07T07:10:44.381Z,COMMS,IS-01,245.149
2026-05-07T08:11:24.902Z,2026-05-07T08:18:54.725Z,COMMS,ZA-01,449.823
