profile,segment_index,condition,duration_seconds,overlap_start_utc,overlap_end_utc,ah_start,ah_end,energy_start_wh,energy_end_wh,voltage_start_v,voltage_end_v,segment_wh,signed_ah_delta,delta_voltage_v
Lower bound,1,DIRECTSUN,1300.899,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,13.4692201279586,13.107520291621805,406.48836816944026,396.3702648361069,27.903996651795666,28.0368,10.118103333333332,-0.36169983633679514,0.13280334820433382
Lower bound,2,UMBRA,2090.185,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,13.107520291621805,13.418741051566428,396.3702648361069,405.0793690027736,28.0368,27.918249201607466,8.709104166666666,0.3112207599446233,-0.11855079839253335
Lower bound,3,DIRECTSUN,2909.916,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:37:01+00:00,13.418741051566428,12.61252019791502,405.0793690027736,382.4466890027736,27.918249201607466,28.201666666666664,22.63268,-0.8062208536514088,0.2834174650591983
Upper bound,1,DIRECTSUN,1300.899,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,13.239451501125654,12.878891206586614,400.0675,389.94939666666664,27.994,28.12444649461328,10.118103333333332,-0.3605602945390398,0.13044649461328106
Upper bound,2,UMBRA,2090.185,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,12.878891206586614,13.189155450277644,389.94939666666664,398.65850083333333,28.12444649461328,28.015833333333337,8.709104166666666,0.3102642436910301,-0.10861316127994414
Upper bound,3,DIRECTSUN,2909.916,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:37:01+00:00,13.189155450277644,12.385276193358436,398.65850083333333,376.02582083333334,28.015833333333337,28.296,22.63268,-0.8038792569192079,0.2801666666666627
Input voltage,1,DIRECTSUN,1300.899,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,13.475045816382199,13.113318777687809,406.6509172796676,396.5328139463343,27.899,28.0368,10.118103333333332,-0.36172703869439005,0.1377999999999986
Input voltage,2,UMBRA,2090.185,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,13.113318777687809,13.424564742053356,396.5328139463343,405.24191811300096,28.0368,27.913999999999998,8.709104166666666,0.31124596436554697,-0.12280000000000157
Input voltage,3,DIRECTSUN,2909.916,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:37:01+00:00,13.424564742053356,12.618283928880402,405.24191811300096,382.60923811300097,27.913999999999998,28.201666666666664,22.63268,-0.806280813172954,0.2876666666666665
