Energy_Wh,raw_voltage_mean,isotonic_voltage
52.54244,31.821,31.833
52.77088,31.851,31.833
52.99955,31.841,31.833
53.22842,31.831,31.831
53.45923,31.821,31.821
53.68861,31.821,31.821
53.92078,31.811,31.811
54.15001,31.801,31.801
54.3829,31.791,31.791
54.61571,31.781,31.790999999999997
54.84459,31.791,31.790999999999997
55.07347,31.791,31.790999999999997
55.3027,31.801,31.790999999999997
55.53559,31.791,31.790999999999997
55.7684,31.781,31.787666666666667
55.99728,31.791,31.787666666666667
56.22616,31.791,31.787666666666667
56.45496,31.781,31.781
56.68433,31.781,31.781
56.91277,31.771,31.771
57.14144,31.761,31.770999999999997
57.36981,31.761,31.770999999999997
57.59861,31.781,31.770999999999997
57.82798,31.781,31.770999999999997
58.05642,31.771,31.770999999999997
58.28509,31.761,31.761
58.51346,31.761,31.761
58.7424,31.761,31.761
58.97099,31.751,31.751
59.1995,31.74,31.74
59.42801,31.74,31.74
59.65616,31.73,31.7382
59.88431,31.73,31.7382
60.1129,31.751,31.7382
60.34141,31.74,31.7382
60.56992,31.74,31.7382
60.79806,31.73,31.73
61.02621,31.73,31.73
61.2585,31.71,31.715
61.48658,31.72,31.715
61.71458,31.71,31.71
61.94394,31.7,31.708
62.17302,31.7,31.708
62.40531,31.71,31.708
62.63339,31.72,31.708
62.86139,31.71,31.708
63.09075,31.7,31.7
63.31983,31.7,31.7
63.54854,31.69,31.69
63.7814,31.67,31.673333333333336
64.01427,31.67,31.673333333333336
64.24263,31.68,31.673333333333336
64.47034,31.67,31.672000000000004
64.69863,31.67,31.672000000000004
64.93149,31.67,31.672000000000004
65.16435,31.67,31.672000000000004
65.39271,31.68,31.672000000000004
65.62043,31.67,31.67
65.84872,31.67,31.67
66.07693,31.66,31.66
66.30515,31.66,31.66
66.53301,31.65,31.654000000000003
66.76116,31.65,31.654000000000003
66.9893,31.65,31.654000000000003
67.21752,31.66,31.654000000000003
67.44573,31.66,31.654000000000003
67.67359,31.65,31.649999999999995
67.90174,31.65,31.649999999999995
68.12988,31.65,31.649999999999995
68.35795,31.64,31.64
68.58673,31.62,31.626666666666665
68.81445,31.63,31.626666666666665
69.04245,31.63,31.626666666666665
69.26981,31.62,31.624000000000002
69.49745,31.62,31.624000000000002
69.72623,31.62,31.624000000000002
69.95395,31.63,31.624000000000002
70.18195,31.63,31.624000000000002
70.40931,31.62,31.62
70.63695,31.62,31.62
70.86488,31.62,31.62
71.09274,31.61,31.61
71.31995,31.6,31.605999999999995
71.54716,31.6,31.605999999999995
71.77409,31.6,31.605999999999995
72.00202,31.62,31.605999999999995
72.22988,31.61,31.605999999999995
72.45709,31.6,31.600000000000005
72.6843,31.6,31.600000000000005
72.91123,31.6,31.600000000000005
73.13809,31.59,31.59
73.36467,31.59,31.59
73.59153,31.59,31.59
73.81831,31.58,31.58
74.04673,31.57,31.577499999999997
74.27515,31.57,31.577499999999997
74.50172,31.59,31.577499999999997
74.72851,31.58,31.577499999999997
74.95693,31.57,31.57
75.18534,31.57,31.57
75.41646,31.55,31.55666666666667
75.64396,31.56,31.55666666666667
75.87088,31.56,31.55666666666667
76.09831,31.55,31.554000000000002
76.32573,31.55,31.554000000000002
76.55287,31.55,31.554000000000002
76.78037,31.56,31.554000000000002
77.00729,31.56,31.554000000000002
77.23472,31.55,31.55
77.46214,31.55,31.55
77.68928,31.55,31.55
77.91635,31.54,31.54
78.14342,31.54,31.54
78.37461,31.52,31.528333333333332
78.60161,31.53,31.528333333333332
78.82854,31.52,31.528333333333332
79.05631,31.52,31.528333333333332
79.28338,31.54,31.528333333333332
79.51045,31.54,31.528333333333332
79.74165,31.52,31.525
79.96864,31.53,31.525
80.19557,31.52,31.52
80.42335,31.52,31.52
80.65438,31.499,31.505666666666666
80.88123,31.509,31.505666666666666
81.10836,31.509,31.505666666666666
81.33513,31.499,31.500999999999998
81.56212,31.489,31.500999999999998
81.79315,31.499,31.500999999999998
82.02,31.509,31.500999999999998
82.24713,31.509,31.500999999999998
82.4739,31.499,31.499
82.70089,31.489,31.489
82.92759,31.489,31.489
83.154,31.489,31.489
83.38035,31.479,31.479
83.60698,31.479,31.478999999999996
83.83382,31.469,31.478999999999996
