Energy_Wh,TOTAL_BATTERY_VOLTAGE,Discharged_Ah
0.0,33.066,0.0
0.241714,32.996,0.007317792376858102
0.48254,32.956,0.014620861275451019
0.717353,32.946,0.021746987948389626
0.956406,32.916,0.029006196596775644
1.198633,33.066,0.036348411140135956
1.440347,32.996,0.04366620351699406
1.681173,32.956,0.05096927241558698
1.915986,32.946,0.05809539908852558
2.155039,32.916,0.0653546077369116
2.390083,32.895,0.07249760814717736
2.627578,32.865,0.0797206920887832
2.864856,32.835,0.08694376667021395
3.101689,32.815,0.09415878571057952
3.338679,32.795,0.10138298933807532
3.574932,32.775,0.10858912019059935
3.812427,32.865,0.11582540903886261
4.049706,32.835,0.12304851406169365
4.286539,32.815,0.13026353310205924
4.523528,32.795,0.13748770624639697
4.759781,32.775,0.144693837098921
4.99589,32.755,0.15189997169376307
5.231336,32.745,0.1590891625334577
5.471509,32.705,0.16642829163964565
5.706667,32.705,0.1736185683557441
5.946022,32.674,0.18094064425167397
6.182131,32.755,0.1881579026539115
6.417577,32.745,0.19534709349360613
6.65775,32.705,0.20268622259979407
6.892908,32.705,0.20987649931589253
7.132263,32.674,0.2171985752118224
7.366907,32.674,0.2243799426599463
7.606043,32.644,0.23170215093331656
7.840834,32.654,0.23889351973481127
8.075482,32.634,0.24608160942970156
8.309397,32.614,0.2532516376297997
8.543539,32.604,0.2604319252804483
8.782674,32.644,0.26776195838491124
9.017465,32.654,0.2749533271864059
9.252113,32.634,0.28214141688129624
9.486028,32.614,0.28931144508139434
9.72017,32.604,0.29649173273204293
9.954312,32.604,0.3036731215186949
10.1886,32.584,0.3108611929428834
10.42421,32.564,0.3180942622619723
10.65828,32.554,0.3252833651213967
10.89228,32.544,0.3324725260787226
11.12642,32.604,0.33966046738160216
11.36071,32.584,0.3468486001667773
11.59632,32.564,0.3540816694858662
11.83039,32.554,0.36127077234529065
12.06439,32.544,0.3684599333026165
12.29832,32.534,0.37564915239355356
12.53189,32.524,0.38282951453195313
12.76539,32.514,0.3900099321339704
12.9991,32.504,0.39719901823320447
13.23274,32.494,0.40438816251456694
13.46602,32.484,0.41156843891581046
13.69959,32.524,0.41875432372998717
13.93308,32.514,0.4259344338194733
14.1668,32.504,0.43312382752583156
14.40044,32.494,0.44031297180719403
14.63372,32.484,0.44749324820843756
14.87087,32.454,0.4547971380726157
15.10371,32.464,0.46197049523087685
15.33648,32.454,0.4691416958223923
15.57312,32.423,0.4764367310428864
15.80574,32.433,0.4836101614117035
16.0429,32.454,0.4909201002284156
16.27574,32.464,0.49809345738667676
16.5085,32.454,0.5052643498972286
16.74515,32.423,0.5125596933933827
16.97776,32.433,0.5197328153867218
17.21031,32.423,0.5269040871271929
17.4422,32.413,0.5340572119343988
17.6746,32.403,0.5412282808062824
17.91205,32.373,0.5485596998503728
18.14519,32.383,0.5557602681374813
18.37796,32.373,0.5629494089120813
18.60984,32.413,0.5701077455897585
18.84225,32.403,0.5772791230274282
19.07969,32.373,0.5846102333151891
19.31283,32.383,0.5918108016022977
19.5456,32.373,0.5989999423768977
19.7783,32.363,0.6061891415859931
20.01123,32.353,0.6133876705432835
20.24378,32.343,0.6205766775916327
20.47598,32.333,0.6277570845432067
20.70897,32.323,0.6349641496261069
20.94167,32.363,0.642158905833014
21.17459,32.353,0.6493571257477183
21.40715,32.343,0.6565464419341905
21.63934,32.333,0.6637265396520456
21.87234,32.323,0.6709339140643199
22.10498,32.313,0.6781323793158825
22.33724,32.303,0.6853213108498679
22.56915,32.293,0.6925016316127635
22.80128,32.283,0.6996909898882837
23.03311,32.283,0.7068721688369565
23.26458,32.273,0.7140433070735263
23.49685,32.303,0.7212370013252607
23.72876,32.293,0.7284173220881563
23.96088,32.283,0.7356063706510899
24.19272,32.283,0.7427878593603178
24.42419,32.273,0.7499589975968876
24.65588,32.263,0.7571391761019081
24.88728,32.263,0.7643114787396045
25.1189,32.253,0.7714917131000731
25.35045,32.243,0.7786720033506312
25.58134,32.233,0.7858340481424918
25.81304,32.263,0.7930189898443027
26.04443,32.263,0.8001909825294219
26.27606,32.253,0.8073715268905107
26.50761,32.243,0.8145518171410688
26.7385,32.233,0.8217138619329293
26.96933,32.223,0.8288762672947265
27.20015,32.223,0.8360394737000892
27.43453,32.192,0.843316660690697
27.6652,32.202,0.8504809927713256
27.89551,32.192,0.8576341436860072
28.12604,32.182,0.8647963520309911
28.35686,32.223,0.8719641185087491
28.59124,32.192,0.8792413054993569
28.82191,32.202,0.8864056375799855
29.05222,32.192,0.893558788494667
29.28275,32.182,0.900720996839651
29.51291,32.172,0.9078739321661264
29.74337,32.172,0.915037304042292
29.97318,32.162,0.9221815823399262
30.20747,32.142,0.9294685318298491
30.43749,32.152,0.93662378737469
30.66766,32.172,0.9437803696767857
30.89812,32.172,0.9509437415529512
31.12792,32.162,0.958087708972978
31.36222,32.142,0.9653749694855434
31.59224,32.152,0.9725302250303842
31.82219,32.142,0.9796833030781025
32.05156,32.142,0.9868194489308809
32.28108,32.122,0.9939624839115855
32.51031,32.122,1.0010987145323436
32.73976,32.112,1.0082429060819902
32.96862,32.112,1.015369836824392
33.19799,32.142,1.0225093145222783
33.42751,32.122,1.029652349502983
33.65674,32.122,1.0367885801237413
33.88619,32.112,1.043932771673388
34.11506,32.112,1.0510600138258543
34.34444,32.102,1.0582042502851934
34.57345,32.092,1.065339185014296
34.80304,32.092,1.0724933044210017
35.03589,32.062,1.0797523997229315
35.26476,32.072,1.0868896436185251
35.49414,32.102,1.0940383331189458
35.72315,32.092,1.1011732678480481
35.95274,32.092,1.1083273872547539
36.18559,32.062,1.1155864825566837
36.41446,32.072,1.1227237264522774
36.64326,32.062,1.1298587874183796
36.87625,32.042,1.1371279125899758
37.1044,32.052,1.1442471437192547
37.33392,32.042,1.151409124559895
37.56511,32.032,1.1586254681626043
37.79651,32.022,1.1658506219391054
38.0295,32.042,1.1731242857752693
38.25765,32.052,1.1802435169045482
38.48717,32.042,1.1874054977451884
38.71836,32.032,1.1946218413478977
38.94976,32.022,1.2018469951243989
39.17972,32.022,1.2090283079718165
39.4138,31.992,1.2163417081655241
39.6439,32.002,1.2235330073498227
39.87372,32.002,1.2307144335106877
40.10375,31.992,1.2379035449898887
40.33515,31.982,1.245137733879125
40.56511,32.022,1.2523235347665695
40.79919,31.992,1.2596369349602774
41.02929,32.002,1.266828234144576
41.25911,32.002,1.274009660305441
41.48914,31.992,1.281198771784642
41.72054,31.982,1.2884329606738782
41.95128,31.971,1.2956488848682084
42.18058,31.971,1.3028210096062522
42.41378,31.951,1.3101174020845854
42.64719,31.941,1.317423794121147
42.87614,31.961,1.3245894540378944
43.10688,31.971,1.3318077484757345
43.33618,31.971,1.3389798732137783
43.56938,31.951,1.3462762656921115
43.80279,31.941,1.3535826577286731
44.03174,31.961,1.3607483176454205
44.26313,31.941,1.36799034449904
44.49309,31.941,1.3751898686216413
44.72218,31.941,1.382362155024697
44.95119,31.931,1.389533059333314
45.18101,31.921,1.3967315809144705
45.41103,31.911,1.4039386244036294
45.64099,31.941,1.4111415311254236
45.87008,31.941,1.4183138175284793
46.09909,31.931,1.4254847218370963
46.32891,31.921,1.4326832434182528
46.55893,31.911,1.4398902869074117
46.78896,31.911,1.447098773009383
47.02287,31.891,1.454431145035338
47.25311,31.901,1.4616496050303218
47.48327,31.891,1.4688655568738131
47.7128,31.881,1.4760640138768868
47.94282,31.911,1.4832755764552663
48.17673,31.891,1.4906079484812216
48.40697,31.901,1.4978264084762054
48.63713,31.891,1.5050423603196967
48.86666,31.881,1.5122408173227704
49.09618,31.881,1.519440089616613
49.32535,31.871,1.526629511124958
49.55451,31.871,1.5338197467623713
49.78417,31.861,1.5410268013032613
50.01355,31.861,1.548226198685641
50.24623,31.841,1.5555314638264526
50.47539,31.871,1.5627250851222838
50.70455,31.871,1.5699153207596972
50.93422,31.861,1.577122689114684
51.1636,31.861,1.5843220864970635
51.39628,31.841,1.5916273516378752
51.62472,31.851,1.598800623006336
51.85338,31.841,1.6059808026207303
52.08226,31.831,1.6131701480158804
52.31307,31.821,1.6204223946067182
