condition,start_time_utc,end_time_utc,duration_seconds,energy_start_wh,energy_end_wh,voltage_start_v,raw_voltage_end_v,voltage_end_v,delta_wh,delta_v
DIRECTSUN,2026-05-06 08:52:00+00:00,2026-05-06 09:13:40.899000+00:00,1300.899,223.82045,205.75240833333334,30.038,30.29115761689291,30.29115761689291,-18.06804166666666,0.25315761689290994
UMBRA,2026-05-06 09:13:40.899000+00:00,2026-05-06 09:48:31.084000+00:00,2090.185,205.75240833333334,230.1379,30.29115761689291,29.972335759781622,29.972335759781622,24.385491666666667,-0.3188218571112884
DIRECTSUN,2026-05-06 09:48:31.084000+00:00,2026-05-06 10:37:01+00:00,2909.916,230.1379,189.7224,29.972335759781622,30.479229195088678,30.479229195088678,-40.41550000000001,0.506893435307056
